##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	19_3F_fox_S14_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	16348255
Total Bases	1.6 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	14-15	-0.2535576461530056
1103	16-17	-0.22849777657371106
1103	18-19	-0.20183898321710814
1103	20-21	-0.17768944649870377
1103	22-23	-0.20275014413218884
1103	24-25	-0.1740105525792046
1103	26-27	-0.23474168487673808
1103	28-29	-0.1861918161146221
1103	30-31	-0.24906227930596714
1103	32-33	-0.13868486812484093
1103	34-35	-0.29030665283691093
1103	36-37	-0.3214857745628876
1103	38-39	-0.4928645462814103
1103	40-41	-0.4601711612613073
1103	42-43	-0.3903044557070956
1103	44-45	-0.23981432233052402
1103	46-47	-0.2535620623818531
1103	48-49	-0.20151520168668213
1103	50-51	-0.1764039174159322
1103	52-53	-0.24035566227048122
1103	54-55	-0.05925101888615103
1103	56-57	-0.3016408103697046
1103	58-59	-0.2669459076028957
1103	60-61	-0.19854129896118167
1103	62-63	-0.24621768822242274
1103	64-65	-0.17668675508589615
1103	66-67	-0.13687236686359228
1103	68-69	-0.146938395866286
1103	70-71	-0.1973352698477413
1103	72-73	-0.21148927759555392
1103	74-75	-0.2503692860498319
1103	76-77	-0.23564125244649148
1103	78-79	-0.06407092069367337
1103	80-81	-0.17823509853127462
1103	82-83	-0.16789347125743603
1103	84-85	-0.19523764294093127
1103	86-87	-0.24781144580517633
1103	88-89	-0.3390347428023688
1103	90-91	-0.38081452115875436
1103	92-93	-0.3177100754457598
1103	94-95	-0.3224692183887825
1103	96-97	-0.33035207611794704
1103	98-99	-0.31835496705694055
1103	100-101	-0.4376185659826888
1104	1	-0.4693467392274364
1104	2	-0.5582394255857821
1104	3	-1.1570088101407165
1104	4	-0.9417519822482348
1104	5	-0.8825672632998831
1104	6	-1.2520699502853745
1104	7	-1.1842891067223107
1104	8	-1.2049601018839198
1104	9	-0.8406996265948834
1104	10-11	-0.5553956560883648
1104	12-13	-0.29619685131502393
1104	14-15	-0.23656332088662424
1104	16-17	-0.15664351958413647
1104	18-19	-0.14802955127380812
1104	20-21	-0.13490202786589123
1104	22-23	-0.17257230432774406
1104	24-25	-0.07998190670554095
1104	26-27	-0.13471433593383608
1104	28-29	-0.19972280248448016
1104	30-31	-0.18114691849986997
1104	32-33	-0.07650420457979124
1104	34-35	-0.20350066285914892
1104	36-37	-0.21277757123178276
1104	38-39	-0.4100671860799494
1104	40-41	-0.44640848082087103
1104	42-43	-0.3342496616503965
1104	44-45	-0.18208017922512454
1104	46-47	-0.12477351230020162
1104	48-49	-0.08172544859606745
1104	50-51	-0.10856444866790582
1104	52-53	-0.15249795097997065
1104	54-55	0.06098840838794217
1104	56-57	-0.1452415883840672
1104	58-59	-0.16109179153526298
1104	60-61	-0.11277585869702733
1104	62-63	-0.17088239973762853
1104	64-65	-0.1280239643283423
1104	66-67	-0.12375249210890615
1104	68-69	-0.1086253735608338
1104	70-71	-0.18345901687080612
1104	72-73	-0.10367494767035623
1104	74-75	-0.09275095580451165
1104	76-77	-0.1831828473835131
1104	78-79	0.0017917315101882991
1104	80-81	-0.17513803014130502
1104	82-83	-0.1535898780587459
1104	84-85	-0.0871427968863756
1104	86-87	-0.07099653512769777
